,precision,recall,f1-score,support
tent,0.8253012048192772,0.8106508875739645,0.817910447761194,169.0
tiger,0.5294117647058824,0.4144736842105263,0.46494464944649444,152.0
toaster,0.7293233082706767,0.6689655172413793,0.697841726618705,145.0
toe,0.7636363636363637,0.6614173228346457,0.7088607594936709,127.0
toilet,0.8482758620689655,0.8367346938775511,0.8424657534246576,147.0
tooth,0.8111888111888111,0.7891156462585034,0.8,147.0
toothbrush,0.574468085106383,0.8244274809160306,0.677115987460815,131.0
toothpaste,0.5853658536585366,0.5070422535211268,0.5433962264150943,142.0
tornado,0.5408805031446541,0.7478260869565218,0.6277372262773723,115.0
tractor,0.6629834254143646,0.7947019867549668,0.7228915662650602,151.0
traffic light,0.8636363636363636,0.875,0.869281045751634,152.0
train,0.6944444444444444,0.8,0.7434944237918215,125.0
tree,0.8235294117647058,0.7538461538461538,0.7871485943775101,130.0
triangle,0.891566265060241,0.9135802469135802,0.9024390243902439,162.0
trombone,0.4666666666666667,0.4605263157894737,0.46357615894039733,152.0
truck,0.564625850340136,0.5570469798657718,0.5608108108108109,149.0
trumpet,0.5471698113207547,0.6444444444444445,0.5918367346938775,135.0
umbrella,0.9545454545454546,0.9375,0.9459459459459459,112.0
underwear,0.8387096774193549,0.6933333333333334,0.7591240875912408,150.0
van,0.6390977443609023,0.5182926829268293,0.5723905723905723,164.0
vase,0.8731343283582089,0.7048192771084337,0.78,166.0
violin,0.66,0.44,0.528,150.0
washing machine,0.7345679012345679,0.8686131386861314,0.7959866220735786,137.0
watermelon,0.6569767441860465,0.7583892617449665,0.7040498442367601,149.0
waterslide,0.6764705882352942,0.609271523178808,0.6411149825783972,151.0
whale,0.8055555555555556,0.635036496350365,0.710204081632653,137.0
wheel,0.6789473684210526,0.832258064516129,0.7478260869565218,155.0
windmill,0.7931034482758621,0.8041958041958042,0.7986111111111112,143.0
wine bottle,0.837037037037037,0.8432835820895522,0.8401486988847584,134.0
wine glass,0.9261744966442953,0.8734177215189873,0.8990228013029316,158.0
wristwatch,0.7638888888888888,0.7482993197278912,0.7560137457044673,147.0
yoga,0.6417910447761194,0.6099290780141844,0.6254545454545455,141.0
zebra,0.7756410256410257,0.7423312883435583,0.7586206896551724,163.0
zigzag,0.7307692307692307,0.8260869565217391,0.7755102040816326,138.0
accuracy,0.70698,0.70698,0.70698,0.70698
macro avg,0.710874944632936,0.7066271495421043,0.7043016597429306,50000.0
weighted avg,0.7116305078538689,0.70698,0.7048341302649935,50000.0
